delta,R,C,L,W,step
2, 0.8493619778252381,0.02592857142857143,3.45010101010101,-0.5215193910391208,313
2, 0.8498302070984518,0.027928571428571435,3.4553535353535354,-0.5212032009989561,314
3, 0.8503343298963848,0.025119047619047624,3.454747474747475,-0.5216432067706687,315
1, 0.8507613401645228,0.02478571428571429,3.4604040404040406,-0.5258199019064405,316
4, 0.8508481228914564,0.029119047619047628,3.4638383838383837,-0.5241948780057761,317
3, 0.8511162658846353,0.029119047619047628,3.462222222222222,-0.5165012915963317,318
7, 0.8520907286725974,0.029119047619047628,3.4608080808080808,-0.5157427389763579,319
4, 0.8522331920733064,0.028928571428571432,3.4654545454545453,-0.5169947403199316,320
7, 0.8522608585970113,0.028928571428571432,3.4624242424242424,-0.5166570292289455,321
2, 0.8523263052108292,0.028928571428571432,3.4771717171717174,-0.5166826992247728,322
11, 0.8524459922080074,0.028261904761904762,3.47010101010101,-0.5172723115406938,323
6, 0.8525927012428549,0.028261904761904762,3.4824242424242424,-0.5157255956764673,324
1, 0.8535364375900913,0.033547619047619055,3.484040404040404,-0.5165633494064862,325
3, 0.8536759484015547,0.033547619047619055,3.4836363636363634,-0.5254282288125263,326
2, 0.8541468556892067,0.03335714285714286,3.4804040404040406,-0.5260375194286431,327
3, 0.8543625959359915,0.04426190476190475,3.4886868686868686,-0.5267691823212657,328
2, 0.8549169541339762,0.04579365079365078,3.488080808080808,-0.5286106038640636,329
7, 0.8552108478913552,0.04412698412698411,3.480808080808081,-0.5400896739965727,330
2, 0.8552879973322313,0.05012698412698412,3.486262626262626,-0.5432145439513599,331
1, 0.8564236237230597,0.050365079365079356,3.4874747474747476,-0.5448103316096045,332
23, 0.8572496182940342,0.05303174603174603,3.4903030303030302,-0.5462036590509509,333
13, 0.8576723086662036,0.05267460317460317,3.4896969696969697,-0.5421562451633829,334
32, 0.8583131968054258,0.05267460317460317,3.486060606060606,-0.5417141718271925,335
2, 0.8585816895560354,0.048317460317460315,3.4672727272727273,-0.5453927694151125,336
8, 0.8586663464253974,0.048317460317460315,3.4684848484848483,-0.5453213198296394,337
1, 0.8589233921067837,0.04698412698412699,3.474949494949495,-0.5457107037645051,338
